dataset,rank_tol,effective_rank,condition_number
K562 aggregate,0.001,11,57.58258548902807
K562 aggregate,0.005,11,57.58258548902807
K562 aggregate,0.01,11,57.58258548902807
K562 aggregate,0.02,10,35.90063992236267
K562 aggregate,0.05,7,18.045694350491086
K562 aggregate,0.1,3,9.674936196204097
K562 essential,0.001,30,65.00280412764066
K562 essential,0.005,30,65.00280412764066
K562 essential,0.01,30,65.00280412764066
K562 essential,0.02,28,48.272545917706424
K562 essential,0.05,17,19.697317285403646
K562 essential,0.1,11,9.263606587025079
RPE1 essential,0.001,30,65.27028003779137
RPE1 essential,0.005,30,65.27028003779137
RPE1 essential,0.01,30,65.27028003779137
RPE1 essential,0.02,29,46.78642738080683
RPE1 essential,0.05,20,19.981568761948274
RPE1 essential,0.1,12,9.306160169449063
